VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
1156,032 010006501156,2025-10-02,16:11:16,,,,,,
1160,032 010006501160,2025-10-02,15:50:42,,,,,,
1173,032 010006501173,2025-10-02,16:06:25,,,,,,
1179,032 010006501179,2025-10-02,16:04:41,,,,,,
1190,032 010006501190,2025-10-02,16:09:19,,,,,,
1200,032 010006501200,2025-10-02,16:04:59,,,,,,
1201,032 010006501201,2025-10-02,16:11:26,,,,,,
1202,032 010006501202,2025-10-02,16:04:39,,,,,,
1206,032 010006501206,2025-10-02,16:02:54,,,,,,
1209,032 010006501209,2025-10-02,16:12:38,,,,,,
1219,032 010006501219,2025-10-02,15:49:54,,,,,,
1220,032 010006501220,2025-10-02,16:04:49,,,,,,
1240,032 010006501240,2025-10-02,15:58:03,,,,,,
1241,032 010006501241,2025-10-02,15:57:58,,,,,,
1252,032 010006501252,2025-10-02,15:52:54,,,,,,
1261,032 010006501261,2025-10-02,16:12:26,,,,,,
1263,032 010006501263,2025-10-02,16:12:29,,,,,,
1284,032 010006501284,2025-10-02,15:51:05,,,,,,
1287,032 010006501287,2025-10-02,15:52:58,,,,,,
1299,032 010006501299,2025-10-02,15:57:46,,,,,,
1302,032 010006501302,2025-10-02,16:00:33,,,,,,
1304,032 010006501304,2025-10-02,16:11:22,,,,,,
1308,032 010006501308,2025-10-02,15:55:28,,,,,,
1309,032 010006501309,2025-10-02,16:11:30,,,,,,
1322,032 010006501322,2025-10-02,16:12:42,,,,,,
1332,032 010006501332,2025-10-02,16:12:34,,,,,,
1337,032 010006501337,2025-10-02,16:02:34,,,,,,
1352,032 010006501352,2025-10-02,15:55:18,,,,,,
1358,032 010006501358,2025-10-02,15:49:47,,,,,,
1367,032 010006501367,2025-10-02,15:51:15,,,,,,
1370,032 010006501370,2025-10-02,16:12:23,,,,,,
1375,032 010006501375,2025-10-02,16:14:57,,,,,,
1384,032 010006501384,2025-10-02,16:04:57,,,,,,
1387,032 010006501387,2025-10-02,15:55:32,,,,,,
1398,032 010006501398,2025-10-02,16:02:50,,,,,,
1399,032 010006501399,2025-10-02,16:08:01,,,,,,
1507,032 010006501507,2025-10-02,15:53:07,,,,,,
1545,032 010006501545,2025-10-02,15:57:44,,,,,,
1548,032 010006501548,2025-10-02,16:09:05,,,,,,
1562,032 010006501562,2025-10-02,16:00:42,,,,,,
1570,032 010006501570,2025-10-02,16:01:55,,,,,,
1574,032 010006501574,2025-10-02,16:09:02,,,,,,
1576,032 010006501576,2025-10-02,15:57:55,,,,,,
1580,032 010006501580,2025-10-04,19:21:56,,BOTON PERDIDO 1580,,,,
1586,032 010006501586,2025-10-02,16:06:10,,,,,,
1590,032 010006501590,2025-10-02,15:55:20,,,,,,
1597,032 010006501597,2025-10-02,16:00:30,,,,,,
1605,032 010006501605,2025-10-02,15:57:50,,,,,,
1611,032 010006501611,2025-10-02,16:15:00,,,,,,
1620,032 010006501620,2025-10-02,15:51:09,,,,,,
1622,032 010006501622,2025-10-02,15:48:39,,,,,,
1638,032 010006501638,2025-10-02,16:11:19,,,,,,
1646,032 010006501646,2025-10-02,16:06:08,,,,,,
1693,032 010006501693,2025-10-02,16:06:13,,,,,,
1699,032 010006501699,2025-10-02,16:00:39,,,,,,
1716,032 010006501716,2025-10-02,16:10:19,,,,,,
1720,032 010006501720,2025-10-02,16:07:11,,,,,,
1734,032 010006501734,2025-10-02,15:53:12,,,,,,
1742,032 010006501742,2025-10-02,16:11:34,,,,,,
1751,032 010006501751,2025-10-02,15:53:01,,,,,,
1761,032 010006501761,2025-10-02,16:09:12,,,,,,
1769,032 010006501769,2025-10-02,16:02:29,,,,,,
1777,032 010006501777,2025-10-02,15:49:56,,,,,,
1783,032 010006501783,2025-10-02,16:02:37,,,,,,
1838,032 010006501838,2025-10-02,16:15:05,,,,,,
1845,032 010006501845,2025-10-02,15:48:49,,,,,,

 ,Total Head,66
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
