"Tag Number","Electronic ID","NLIS","Global ID","PIC","Date of Birth","Sex","Breed","Colour","Sire VID","Sire EID","Dam VID","Dam EID","Donor Dam VID","Donor Dam EID","Group","Overall ADG","Trait Name","Trait Value","Trait ADG","When Trait Recorded","Trait In Session","Trait Scanned In Session","Activity Name","When Activity Measured","Activity In Session","Activity Scanned In Session","Treatment Name","Treatment Dosage","Treatment Batch","Treatment Expiry","Treatment Treated","Treatment Value","When Treatment Measured","Treatment In Session","Treatment Scanned In Session","Note","When Note Measured","Note In Session","Note Scanned In Session","Animal Scanned In Sessions","When Animal Scanned In Session","Event Type","When Event Created","Event In Session","Event Notes","Event Gross Amount","Event Net Amount","Farm","Property","Area","PIC Date Updated","Date of Birth Date Updated","Sex Date Updated","Breed Date Updated","Colour Date Updated","Sire Date Updated","Dam Date Updated","Group Date Updated","Donor Dam Date Updated","Farm Date Updated","Property Date Updated","Area Date Updated","Full RFID","Full RFID Date Updated","GESTACION"
"1900","032 010006501900","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1900","2025/10/09 06:56:43","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 06:56:43","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 06:55:58","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1901","032 010006501901","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1901","2025/10/09 06:59:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 06:59:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 06:59:00","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1902","032 010006501902","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1902","2025/10/09 07:00:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:00:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:00:38","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1903","032 010006501903","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1903","2025/10/09 07:02:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:02:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:01:55","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1904","032 010006501904","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1904","2025/10/09 07:03:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:03:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:03:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1905","032 010006501905","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1905","2025/10/09 07:04:57","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:04:57","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:04:54","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1906","032 010006501906","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1906","2025/10/09 07:06:35","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:06:35","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:06:29","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1907","032 010006501907","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1907","2025/10/09 07:08:24","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:08:24","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:08:17","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1908","032 010006501908","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1908","2025/10/09 07:11:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:11:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:11:01","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1909","032 010006501909","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1909","2025/10/09 07:11:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:11:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:11:17","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1910","032 010006501910","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1910","2025/10/09 07:12:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:12:50","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:12:46","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1911","032 010006501911","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1911","2025/10/09 07:14:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:14:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:14:15","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
