VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,edad,SANGRADO.BRUCEIOSIS,Status
2119,032 010006502119,2025-09-24,08:39:57,,,,,,Yes,4d,Yes,
2116,032 010006502116,2025-09-24,08:35:54,,Nueva etiqu.:2116,,,,Yes,6d,Yes,
2115,032 010006502115,2025-09-24,08:34:54,,Nueva etiqu.:2115,,,,Yes,,Yes,
2118,032 010006502118,2025-09-24,08:39:22,,Nueva etiqu.:2118,,,,Yes,1/4D,Yes,
2117,032 010006502117,2025-09-24,08:38:23,,Nueva etiqu.:2117,,,,Yes,1/4D,Yes,
2110,032 010006502110,2025-09-24,08:26:57,,Nueva etiqu.:2110,,,,Yes,2d,Yes,
2111,032 010006502111,2025-09-24,08:28:41,,Nueva etiqu.:2111,,,,Yes,1/4D,Yes,
2112,032 010006502112,2025-09-24,08:30:11,,Nueva etiqu.:2112,,,,Yes,1/4D,Yes,
2113,032 010006502113,2025-09-24,08:31:03,,Nueva etiqu.:2113,,,,Yes,1/4D,Yes,
2120,032 010006502120,2025-09-24,08:40:58,,Nueva etiqu.:2120,,,,Yes,4d,Yes,
2124,032 010006502124,2025-09-24,08:47:12,,Nueva etiqu.:2124,,,,Yes,4d,Yes,
2100,032 010006502100,2025-09-24,08:16:34,,Nueva etiqu.:2100,,,,Yes,4d,Yes,
2101,032 010006502101,2025-09-24,08:18:21,,Nueva etiqu.:2101,,,,Yes,4d,Yes,
2102,032 010006502102,2025-09-24,08:20:14,,Nueva etiqu.:2102,,,,Yes,4d,Yes,
2103,032 010006502103,2025-09-24,08:20:46,,Nueva etiqu.:2103,,,,Yes,4d,Yes,
2104,032 010006502104,2025-09-24,08:21:25,,Nueva etiqu.:2104,,,,Yes,4d,Yes,
2105,032 010006502105,2025-09-24,08:23:53,,Nueva etiqu.:2105,,,,Yes,4d,Yes,
2106,032 010006502106,2025-09-24,08:24:17,,Nueva etiqu.:2106,,,,Yes,4d,Yes,
2107,032 010006502107,2025-09-24,08:24:40,,Nueva etiqu.:2107,,,,Yes,4d,Yes,
2108,032 010006502108,2025-09-24,08:25:21,,Nueva etiqu.:2108,,,,Yes,4d,Yes,
2109,032 010006502109,2025-09-24,08:25:57,,Nueva etiqu.:2109,,,,Yes,4d,Yes,
2114,032 010006502114,2025-09-24,08:32:24,,Nueva etiqu.:2114,,,,Yes,4d,Yes,
2121,032 010006502121,2025-09-24,08:45:34,,Nueva etiqu.:2121,,,,Yes,4d,Yes,
2122,032 010006502122,2025-09-24,08:46:00,,Nueva etiqu.:2122,,,,Yes,4d,Yes,
2123,032 010006502123,2025-09-24,08:46:43,,Nueva etiqu.:2123,,,,Yes,4d,Yes,
2125,032 010006502125,2025-09-24,08:47:59,,Nueva etiqu.:2125,,,,Yes,4d,Yes,
2126,032 010006502126,2025-09-24,08:48:30,,Nueva etiqu.:2126,,,,Yes,4d,Yes,
2127,032 010006502127,2025-09-24,08:50:53,,Nueva etiqu.:2127,,,,Yes,4d,Yes,
2128,032 010006502128,2025-09-24,08:51:23,,Nueva etiqu.:2128,,,,Yes,4d,Yes,
2129,032 010006502129,2025-09-24,08:51:54,,Nueva etiqu.:2129,,,,Yes,4d,Yes,
2130,032 010006502130,2025-09-24,08:52:23,,Nueva etiqu.:2130,,,,Yes,4d,Yes,
2131,032 010006502131,2025-09-24,08:53:05,,Nueva etiqu.:2131,,,,Yes,4d,Yes,
2132,032 010006502132,2025-09-24,08:53:33,,Nueva etiqu.:2132,,,,Yes,4d,Yes,
2133,032 010006502133,2025-09-24,08:54:22,,Nueva etiqu.:2133,,,,Yes,4d,Yes,
2134,032 010006502134,2025-09-24,08:55:17,,Nueva etiqu.:2134,,,,Yes,4d,Yes,
