VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
1208,032 010006501208,2025-06-26,14:21:21,,,,,,
1212,032 010006501212,2025-06-26,14:30:21,,,,,,
1213,032 010006501213,2025-06-26,13:59:52,,,,,,
1214,032 010006501214,2025-06-26,14:10:08,,,,,,
1215,032 010006501215,2025-06-26,14:21:18,,,,,,
1216,032 010006501216,2025-06-26,14:22:15,,,,,,
1218,032 010006501218,2025-06-26,14:38:51,,,,,,
1221,032 010006501221,2025-06-26,14:09:22,,,,,,
1222,032 010006501222,2025-06-26,14:14:20,,,,,,
1224,032 010006501224,2025-06-26,14:38:47,,,,,,
1225,032 010006501225,2025-06-26,14:10:14,,,,,,
1226,032 010006501226,2025-06-26,14:32:47,,,,,,
1227,032 010006501227,2025-06-26,14:00:48,,,,,,
1228,032 010006501228,2025-06-26,14:25:20,,,,,,
1230,032 010006501230,2025-06-26,14:22:32,,,,,,
1231,032 010006501231,2025-06-26,14:14:57,,,,,,
1232,032 010006501232,2025-06-26,14:12:51,,,,,,
1235,032 010006501235,2025-06-26,14:36:36,,,,,,
1236,032 010006501236,2025-06-26,14:08:10,,,,,,
1237,032 010006501237,2025-06-26,14:09:27,,,,,,
1238,032 010006501238,2025-06-26,14:43:14,,,,,,
1239,032 010006501239,2025-06-26,14:07:36,,,,,,
1242,032 010006501242,2025-06-26,14:12:43,,,,,,
1243,032 010006501243,2025-06-26,14:14:47,,,,,,
1244,032 010006501244,2025-06-26,14:18:16,,,,,,
1245,032 010006501245,2025-06-26,14:03:02,,,,,,
1248,032 010006501248,2025-06-26,14:20:19,,,,,,
1249,032 010006501249,2025-06-26,14:08:05,,,,,,
1250,032 010006501250,2025-06-26,14:01:05,,,,,,
1251,032 010006501251,2025-06-26,14:08:25,,,,,,
1253,032 010006501253,2025-06-26,14:15:47,,,,,,
1254,032 010006501254,2025-06-26,14:27:39,,,,,,
1255,032 010006501255,2025-06-26,14:35:27,,,,,,
1256,032 010006501256,2025-06-26,13:59:55,,,,,,
1257,032 010006501257,2025-06-26,14:22:20,,,,,,
1258,032 010006501258,2025-06-26,14:43:22,,,,,,
1259,032 010006501259,2025-06-26,14:37:56,,,,,,
1260,032 010006501260,2025-06-26,14:26:33,,,,,,
1262,032 010006501262,2025-06-26,14:33:32,,,,,,
1264,032 010006501264,2025-06-26,14:06:39,,,,,,
1265,032 010006501265,2025-06-26,14:30:17,,,,,,
1266,032 010006501266,2025-06-26,14:06:47,,,,,,
1267,032 010006501267,2025-06-26,14:41:51,,,,,,
1268,032 010006501268,2025-06-26,14:38:55,,,,,,
1269,032 010006501269,2025-06-26,14:35:36,,,,,,
1270,032 010006501270,2025-06-26,14:36:48,,,,,,
1271,032 010006501271,2025-06-26,14:02:46,,,,,,
1273,032 010006501273,2025-06-26,14:22:24,,,,,,
1275,032 010006501275,2025-06-26,14:35:39,,,,,,
1276,032 010006501276,2025-06-26,14:15:41,,,,,,
1277,032 010006501277,2025-06-26,14:25:44,,,,,,
1279,032 010006501279,2025-06-26,14:25:18,,,,,,
1280,032 010006501280,2025-06-26,14:41:48,,,,,,
1281,032 010006501281,2025-06-26,14:18:00,,,,,,
1282,032 010006501282,2025-06-26,14:44:48,,,,,,
1283,032 010006501283,2025-06-26,14:04:00,,,,,,
1285,032 010006501285,2025-06-26,14:14:08,,,,,,
1286,032 010006501286,2025-06-26,14:43:25,,,,,,
1288,032 010006501288,2025-06-26,14:04:06,,,,,,
1290,032 010006501290,2025-06-26,14:36:42,,,,,,
1291,032 010006501291,2025-06-26,14:28:24,,,,,,
1292,032 010006501292,2025-06-26,14:31:49,,,,,,
1293,032 010006501293,2025-06-26,14:33:29,,,,,,
1294,032 010006501294,2025-06-26,13:59:49,,,,,,
1295,032 010006501295,2025-06-26,14:28:39,,,,,,
1296,032 010006501296,2025-06-26,14:27:44,,,,,,
1297,032 010006501297,2025-06-26,14:27:41,,,,,,
1298,032 010006501298,2025-06-26,14:10:10,,,,,,
1300,032 010006501300,2025-06-26,14:00:46,,,,,,
1303,032 010006501303,2025-06-26,14:09:25,,,,,,
1305,032 010006501305,2025-06-26,14:20:05,,,,,,
1306,032 010006501306,2025-06-26,14:30:25,,,,,,
1307,032 010006501307,2025-06-26,14:09:30,,,,,,
1310,032 010006501310,2025-06-26,14:37:49,,,,,,
1312,032 010006501312,2025-06-26,14:15:34,,,,,,
1313,032 010006501313,2025-06-26,14:44:35,,,,,,
1314,032 010006501314,2025-06-26,14:32:36,,,,,,
1315,032 010006501315,2025-06-26,14:36:45,,,,,,
1316,032 010006501316,2025-06-26,14:07:41,,,,,,
1317,032 010006501317,2025-06-26,14:19:24,,,,,,
1318,032 010006501318,2025-06-26,14:04:17,,,,,,
1319,032 010006501319,2025-06-26,14:02:55,,,,,,
1320,032 010006501320,2025-06-26,14:01:55,,,,,,
1321,032 010006501321,2025-06-26,14:08:15,,,,,,
1323,032 010006501323,2025-06-26,14:02:48,,,,,,
1324,032 010006501324,2025-06-26,13:59:47,,,,,,
1325,032 010006501325,2025-06-26,14:17:58,,,,,,
1327,032 010006501327,2025-06-26,14:26:35,,,,,,
1328,032 010006501328,2025-06-26,14:28:33,,,,,,
1329,032 010006501329,2025-06-26,14:43:17,,,,,,
1330,032 010006501330,2025-06-26,14:31:39,,,,,,
1331,032 010006501331,2025-06-26,14:18:59,,,,,,
1333,032 010006501333,2025-06-26,14:25:54,,,,,,
1335,032 010006501335,2025-06-26,14:13:52,,,,,,
1336,032 010006501336,2025-06-26,14:38:45,,,,,,
1338,032 010006501338,2025-06-26,14:08:13,,,,,,
1340,032 010006501340,2025-06-26,14:04:32,,,,,,
1341,032 010006501341,2025-06-26,14:33:23,,,,,,
1342,032 010006501342,2025-06-26,14:03:09,,,,,,
1343,032 010006501343,2025-06-26,14:27:30,,,,,,
1344,032 010006501344,2025-06-26,14:02:09,,,,,,
1345,032 010006501345,2025-06-26,13:59:54,,,,,,
1346,032 010006501346,2025-06-26,14:27:33,,,,,,
1348,032 010006501348,2025-06-26,14:07:26,,,,,,
1349,032 010006501349,2025-06-26,14:32:24,,,,,,
1350,032 010006501350,2025-06-26,14:46:14,,,,,,
1351,032 010006501351,2025-06-26,14:06:53,,,,,,
1353,032 010006501353,2025-06-26,14:36:28,,,,,,
1354,032 010006501354,2025-06-26,14:35:49,,,,,,
1355,032 010006501355,2025-06-26,14:09:18,,,,,,
1356,032 010006501356,2025-06-26,14:20:09,,,,,,
1357,032 010006501357,2025-06-26,14:14:53,,,,,,
1359,032 010006501359,2025-06-26,14:19:26,,,,,,
1360,032 010006501360,2025-06-26,14:44:45,,,,,,
1361,032 010006501361,2025-06-26,14:08:18,,,,,,
1362,032 010006501362,2025-06-26,14:46:27,,,,,,
1364,032 010006501364,2025-06-26,14:26:53,,,,,,
1365,032 010006501365,2025-06-26,14:46:16,,,,,,
1366,032 010006501366,2025-06-26,14:31:32,,,,,,
1369,032 010006501369,2025-06-26,14:28:22,,,,,,
1371,032 010006501371,2025-06-26,14:36:32,,,,,,
1372,032 010006501372,2025-06-26,14:01:01,,,,,,
1373,032 010006501373,2025-06-26,14:20:03,,,,,,
1376,032 010006501376,2025-06-26,14:37:20,,,,,,
1377,032 010006501377,2025-06-26,14:13:54,,,,,,
1378,032 010006501378,2025-06-26,14:32:45,,,,,,
1379,032 010006501379,2025-06-26,14:37:21,,,,,,
1382,032 010006501382,2025-06-26,14:43:30,,,,,,
1383,032 010006501383,2025-06-26,14:32:31,,,,,,
1386,032 010006501386,2025-06-26,14:42:13,,,,,,
1388,032 010006501388,2025-06-26,14:46:12,,,,,,
1389,032 010006501389,2025-06-26,14:28:30,,,,,,
1391,032 010006501391,2025-06-26,14:26:50,,,,,,
1393,032 010006501393,2025-06-26,14:44:42,,,,,,
1394,032 010006501394,2025-06-26,14:39:57,,,,,,
1395,032 010006501395,2025-06-26,14:46:23,,,,,,
1397,032 010006501397,2025-06-26,14:15:38,,,,,,
1404,032 010006501404,2025-06-26,13:38:18,,,,,,
1401,032 010006501401,2025-06-26,13:39:40,,,,,,
1402,032 010006501402,2025-06-26,13:36:08,,,,,,
1405,032 010006501405,2025-06-26,13:38:21,,,,,,
1406,032 010006501406,2025-06-26,13:43:01,,,,,,
1407,032 010006501407,2025-06-26,13:42:08,,,,,,
1408,032 010006501408,2025-06-26,13:51:54,,,,,,
1409,032 010006501409,2025-06-26,13:47:23,,,,,,
1410,032 010006501410,2025-06-26,13:29:10,,,,,,
1415,032 010006501415,2025-06-26,13:51:44,,,,,,
1418,032 010006501418,2025-06-26,13:42:13,,,,,,
1420,032 010006501420,2025-06-26,13:48:23,,,,,,
1428,032 010006501428,2025-06-26,13:43:04,,,,,,
1429,032 010006501429,2025-06-26,13:45:58,,,,,,
1431,032 010006501431,2025-06-26,13:37:20,,,,,,
1433,032 010006501433,2025-06-26,13:37:22,,,,,,
1434,032 010006501434,2025-06-26,13:29:26,,,,,,
1435,032 010006501435,2025-06-26,13:37:07,,,,,,
1438,032 010006501438,2025-06-26,13:53:18,,,,,,
1440,032 010006501440,2025-06-26,13:46:01,,,,,,
1444,032 010006501444,2025-06-26,13:54:04,,,,,,
1447,032 010006501447,2025-06-26,13:35:59,,,,,,
1448,032 010006501448,2025-06-26,13:45:47,,,,,,
1449,032 010006501449,2025-06-26,13:35:56,,,,,,
1451,032 010006501451,2025-06-26,13:37:12,,,,,,
1452,032 010006501452,2025-06-26,13:53:14,,,,,,
1453,032 010006501453,2025-06-26,13:36:03,,,,,,
1455,032 010006501455,2025-06-26,13:42:00,,,,,,
1457,032 010006501457,2025-06-26,13:38:13,,,,,,
1458,032 010006501458,2025-06-26,13:41:56,,,,,,
1459,032 010006501459,2025-06-26,13:39:43,,,,,,
1462,032 010006501462,2025-06-26,13:51:04,,,,,,
1463,032 010006501463,2025-06-26,13:29:23,,,,,,
1464,032 010006501464,2025-06-26,13:38:34,,,,,,
1465,032 010006501465,2025-06-26,14:22:17,,,,,,
1468,032 010006501468,2025-06-26,13:50:28,,,,,,
1469,032 010006501469,2025-06-26,13:42:53,,,,,,
1471,032 010006501471,2025-06-26,13:29:18,,,,,,
1474,032 010006501474,2025-06-26,13:45:53,,,,,,
1475,032 010006501475,2025-06-26,13:47:11,,,,,,
1477,032 010006501477,2025-06-26,13:50:32,,,,,,
1479,032 010006501479,2025-06-26,19:55:07,,,,,,
1489,032 010006501489,2025-06-26,13:42:04,,,,,,
1490,032 010006501490,2025-06-26,13:52:43,,,,,,
1492,032 010006501492,2025-06-26,13:47:15,,,,,,
1493,032 010006501493,2025-06-26,13:45:48,,,,,,
1494,032 010006501494,2025-06-26,13:36:12,,,,,,
1495,032 010006501495,2025-06-26,13:50:23,,,,,,
1496,032 010006501496,2025-06-26,13:38:31,,,,,,
1500,032 010006501500,2025-06-26,13:43:09,,,,,,
1503,032 010006501503,2025-06-26,13:37:16,,,,,,
1506,032 010006501506,2025-06-26,13:54:06,,,,,,
1509,032 010006501509,2025-06-26,13:50:18,,,,,,
1511,032 010006501511,2025-06-26,13:28:56,,,,,,
1513,032 010006501513,2025-06-26,13:55:33,,,,,,
1516,032 010006501516,2025-06-26,13:52:52,,,,,,
1517,032 010006501517,2025-06-26,13:50:26,,,,,,
1518,032 010006501518,2025-06-26,14:26:45,,,,,,
1520,032 010006501520,2025-06-26,13:52:01,,,,,,
1521,032 010006501521,2025-06-26,13:51:46,,,,,,
1522,032 010006501522,2025-06-26,13:38:11,,,,,,
1524,032 010006501524,2025-06-26,13:52:55,,,,,,
1527,032 010006501527,2025-06-26,13:39:50,,,,,,
1528,032 010006501528,2025-06-26,13:47:35,,,,,,
1530,032 010006501530,2025-06-26,13:39:53,,,,,,
1532,032 010006501532,2025-06-26,13:37:04,,,,,,
1533,032 010006501533,2025-06-26,13:47:26,,,,,,
1534,032 010006501534,2025-06-26,13:52:47,,,,,,
1535,032 010006501535,2025-06-26,13:55:34,,,,,,
1537,032 010006501537,2025-06-26,13:51:51,,,,,,
1538,032 010006501538,2025-06-26,13:54:09,,,,,,
1539,032 010006501539,2025-06-26,13:54:01,,,,,,
1151,032 010006501151,2025-06-26,14:26:41,,,,,,
1152,032 010006501152,2025-06-26,14:00:58,,,,,,
1153,032 010006501153,2025-06-26,14:26:03,,,,,,
1155,032 010006501155,2025-06-26,14:31:34,,,,,,
1157,032 010006501157,2025-06-26,14:07:31,,,,,,
1159,032 010006501159,2025-06-26,14:30:30,,,,,,
1161,032 010006501161,2025-06-26,14:12:39,,,,,,
1163,032 010006501163,2025-06-26,14:21:25,,,,,,
1164,032 010006501164,2025-06-26,14:06:50,,,,,,
1165,032 010006501165,2025-06-26,14:42:09,,,,,,
1166,032 010006501166,2025-06-26,14:18:05,,,,,,
1167,032 010006501167,2025-06-26,14:14:51,,,,,,
1168,032 010006501168,2025-06-26,14:14:44,,,,,,
1169,032 010006501169,2025-06-26,14:21:27,,,,,,
1170,032 010006501170,2025-06-26,14:02:03,,,,,,
1172,032 010006501172,2025-06-26,14:04:15,,,,,,
1174,032 010006501174,2025-06-26,14:38:17,,,,,,
1175,032 010006501175,2025-06-26,14:19:15,,,,,,
1176,032 010006501176,2025-06-26,14:38:58,,,,,,
1178,032 010006501178,2025-06-26,14:19:12,,,,,,
1180,032 010006501180,2025-06-26,14:12:55,,,,,,
1181,032 010006501181,2025-06-26,14:12:48,,,,,,
1182,032 010006501182,2025-06-26,14:25:49,,,,,,
1183,032 010006501183,2025-06-26,14:35:24,,,,,,
1184,032 010006501184,2025-06-26,14:01:59,,,,,,
1186,032 010006501186,2025-06-26,14:35:46,,,,,,
1187,032 010006501187,2025-06-26,14:03:05,,,,,,
1188,032 010006501188,2025-06-26,14:18:08,,,,,,
1191,032 010006501191,2025-06-26,14:41:54,,,,,,
1192,032 010006501192,2025-06-26,14:22:34,,,,,,
1194,032 010006501194,2025-06-26,14:01:52,,,,,,
1195,032 010006501195,2025-06-26,14:07:43,,,,,,
1196,032 010006501196,2025-06-26,14:31:41,,,,,,
1197,032 010006501197,2025-06-26,14:30:37,,,,,,
1198,032 010006501198,2025-06-26,14:38:05,,,,,,
1199,032 010006501199,2025-06-26,14:12:58,,,,,,
1203,032 010006501203,2025-06-26,14:20:16,,,,,,
1204,032 010006501204,2025-06-26,14:44:38,,,,,,
1205,032 010006501205,2025-06-26,14:06:59,,,,,,
1207,032 010006501207,2025-06-26,14:13:57,,,,,,

 ,Total Head,249
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
