VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
1400,032 010006501400,2025-06-26,14:48:50,,,,,,
1403,032 010006501403,2025-06-26,15:02:57,,,,,,
1411,032 010006501411,2025-06-26,14:50:36,,,,,,
1412,032 010006501412,2025-06-26,14:58:09,,,,,,
1413,032 010006501413,2025-06-26,14:51:31,,,,,,
1414,032 010006501414,2025-06-26,14:49:03,,,,,,
1416,032 010006501416,2025-06-26,14:54:26,,,,,,
1417,032 010006501417,2025-06-26,14:50:33,,,,,,
1419,032 010006501419,2025-06-26,14:51:41,,,,,,
1421,032 010006501421,2025-06-26,14:56:34,,,,,,
1422,032 010006501422,2025-06-26,15:01:50,,,,,,
1423,032 010006501423,2025-06-26,14:51:49,,,,,,
1424,032 010006501424,2025-06-26,14:59:29,,,,,,
1425,032 010006501425,2025-06-26,14:49:05,,,,,,
1426,032 010006501426,2025-06-26,14:51:45,,,,,,
1427,032 010006501427,2025-06-26,14:57:42,,,,,,
1430,032 010006501430,2025-06-26,14:54:43,,,,,,
1432,032 010006501432,2025-06-26,15:01:55,,,,,,
1436,032 010006501436,2025-06-26,14:56:17,,,,,,
1437,032 010006501437,2025-06-26,15:01:02,,,,,,
1439,032 010006501439,2025-06-26,15:01:52,,,,,,
1441,032 010006501441,2025-06-26,14:49:00,,,,,,
1442,032 010006501442,2025-06-26,14:57:39,,,,,,
1443,032 010006501443,2025-06-26,15:01:57,,,,,,
1445,032 010006501445,2025-06-26,14:48:58,,,,,,
1446,032 010006501446,2025-06-26,15:03:09,,,,,,
1450,032 010006501450,2025-06-26,14:58:20,,,,,,
1454,032 010006501454,2025-06-26,15:03:13,,,,,,
1456,032 010006501456,2025-06-26,14:50:43,,,,,,
1460,032 010006501460,2025-06-26,15:00:55,,,,,,
1461,032 010006501461,2025-06-26,14:48:54,,,,,,
1466,032 010006501466,2025-06-26,14:56:22,,,,,,
1467,032 010006501467,2025-06-26,14:59:24,,,,,,
1470,032 010006501470,2025-06-26,19:56:21,,,,,,
1472,032 010006501472,2025-06-26,15:00:52,,,,,,
1473,032 010006501473,2025-06-26,14:58:16,,,,,,
1476,032 010006501476,2025-06-26,14:56:29,,,,,,
1478,032 010006501478,2025-06-26,14:51:29,,,,,,
1481,032 010006501481,2025-06-26,14:56:32,,,,,,
1482,032 010006501482,2025-06-26,14:58:32,,,,,,
1483,032 010006501483,2025-06-26,14:54:47,,,,,,
1486,032 010006501486,2025-06-26,14:59:34,,,,,,
1488,032 010006501488,2025-06-26,15:01:47,,,,,,
1497,032 010006501497,2025-06-26,14:50:31,,,,,,
1498,032 010006501498,2025-06-26,14:54:39,,,,,,
1499,032 010006501499,2025-06-26,14:51:34,,,,,,
1505,032 010006501505,2025-06-26,15:01:03,,,,,,
1512,032 010006501512,2025-06-26,14:57:46,,,,,,
1514,032 010006501514,2025-06-26,15:02:00,,,,,,
1515,032 010006501515,2025-06-26,14:57:36,,,,,,
1519,032 010006501519,2025-06-26,14:50:46,,,,,,
1523,032 010006501523,2025-06-26,15:00:59,,,,,,
1525,032 010006501525,2025-06-26,15:03:16,,,,,,
1526,032 010006501526,2025-06-26,14:57:34,,,,,,
1529,032 010006501529,2025-06-26,15:03:07,,,,,,
1531,032 010006501531,2025-06-26,14:56:19,,,,,,
1536,032 010006501536,2025-06-26,14:58:11,,,,,,
1540,032 010006501540,2025-06-26,14:57:28,,,,,,
1541,032 010006501541,2025-06-26,14:59:22,,,,,,

 ,Total Head,59
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
