VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status,VENTA
1154,032 010006501154,2025-06-03,09:39:59,,,,,,,Yes
1171,032 010006501171,2025-06-03,09:28:00,,,,,,,Yes
1177,032 010006501177,2025-06-03,09:48:39,,,,,,,Yes
1210,032 010006501210,2025-06-03,09:29:51,,,,,,,Yes
1217,032 010006501217,2025-06-03,10:05:22,,,,,,,Yes
1223,032 010006501223,2025-06-03,10:08:16,,,,,,,Yes
1229,032 010006501229,2025-06-03,10:13:05,,,,,,,Yes
1233,032 010006501233,2025-06-03,09:34:47,,,,,,,Yes
1246,032 010006501246,2025-06-03,09:49:49,,,,,,,Yes
1272,032 010006501272,2025-06-03,09:46:30,,,,,,,Yes
1274,032 010006501274,2025-06-03,10:03:43,,,,,,,Yes
1278,032 010006501278,2025-06-03,09:08:14,,,,,,,Yes
1311,032 010006501311,2025-06-03,09:42:23,,,,,,,Yes
1326,032 010006501326,2025-06-03,10:06:09,,,,,,,Yes
1374,032 010006501374,2025-06-03,10:13:57,,,,,,,Yes
1380,032 010006501380,2025-06-03,10:07:39,,,,,,,Yes
1390,032 010006501390,2025-06-03,10:16:31,,,,,,,Yes
1396,032 010006501396,2025-06-03,10:01:44,,,,,,,Yes
1480,032 010006501480,2025-06-03,10:14:29,,,,,,,Yes
1484,032 010006501484,2025-06-03,09:38:14,,,,,,,Yes
1502,032 010006501502,2025-06-03,09:23:08,,,,,,,No
1510,032 010006501510,2025-06-03,09:31:59,,,,,,,Yes
1598,032 010006501598,2025-06-03,09:33:58,,,,,,,Yes
1599,032 010006501599,2025-06-03,09:46:58,,,,,,,Yes
1602,032 010006501602,2025-06-03,09:56:18,,,,,,,No
1608,032 010006501608,2025-06-03,10:07:26,,,,,,,Yes
1612,032 010006501612,2025-06-03,09:39:29,,,,,,,Yes
1636,032 010006501636,2025-06-03,09:32:44,,,,,,,Yes
1651,032 010006501651,2025-06-03,10:09:21,,,,,,,Yes
1659,032 010006501659,2025-06-03,10:12:31,,,,,,,No
1665,032 010006501665,2025-06-03,09:38:57,,,,,,,No
1681,032 010006501681,2025-06-03,09:58:18,,,,,,,Yes
1684,032 010006501684,2025-06-03,09:57:02,,,,,,,Yes
1690,032 010006501690,2025-06-03,10:08:05,,,,,,,Yes
1710,032 010006501710,2025-06-03,10:18:29,,,,,,,No
1712,032 010006501712,2025-06-03,10:05:58,,,,,,,Yes
1715,032 010006501715,2025-06-03,09:50:26,,,,,,,Yes
1725,032 010006501725,2025-06-03,09:08:44,,,,,,,Yes
1733,032 010006501733,2025-06-03,09:55:22,,,,,,,Yes
1737,032 010006501737,2025-06-03,10:09:07,,,,,,,Yes
1745,032 010006501745,2025-06-03,09:57:30,,,,,,,Yes
1748,032 010006501748,2025-06-03,09:37:38,,,,,,,Yes
1764,032 010006501764,2025-06-03,09:55:34,,,,,,,Yes
1770,032 010006501770,2025-06-03,09:31:09,,,,,,,Yes
1785,032 010006501785,2025-06-03,09:58:31,,,,,,,Yes
1799,032 010006501799,2025-06-03,10:17:15,,,,,,,Yes
1809,032 010006501809,2025-06-03,10:06:44,,,,,,,Yes
1816,032 010006501816,2025-06-03,09:22:50,,,,,,,Yes
1156,032 010006501156,2025-06-03,09:34:23,,,,,,,No
1160,032 010006501160,2025-06-03,10:08:39,,,,,,,No
1173,032 010006501173,2025-06-03,09:59:13,,,,,,,No
1179,032 010006501179,2025-06-03,09:28:12,,,,,,,No
1190,032 010006501190,2025-06-03,09:33:18,,,,,,,No
1200,032 010006501200,2025-06-03,09:50:16,,,,,,,No
1201,032 010006501201,2025-06-03,09:47:32,,,,,,,No
1202,032 010006501202,2025-06-03,10:09:47,,,,,,,No
1206,032 010006501206,2025-06-03,09:39:47,,,,,,,No
1209,032 010006501209,2025-06-03,09:44:22,,,,,,,No
1219,032 010006501219,2025-06-03,09:51:16,,,,,,,No
1220,032 010006501220,2025-06-03,10:10:03,,,,,,,No
1240,032 010006501240,2025-06-03,09:27:34,,,,,,,No
1241,032 010006501241,2025-06-03,09:42:47,,,,,,,No
1252,032 010006501252,2025-06-03,09:21:16,,,,,,,No
1261,032 010006501261,2025-06-03,09:34:06,,,,,,,No
1263,032 010006501263,2025-06-03,09:27:47,,,,,,,No
1284,032 010006501284,2025-06-03,09:30:57,,,,,,,No
1287,032 010006501287,2025-06-03,09:33:46,,,,,,,No
1299,032 010006501299,2025-06-03,09:57:40,,,,,,,No
1302,032 010006501302,2025-06-03,10:14:19,,,,,,,No
1304,032 010006501304,2025-06-03,09:50:01,,,,,,,No
1308,032 010006501308,2025-06-03,10:10:13,,,,,,,No
1309,032 010006501309,2025-06-03,10:17:29,,,,,,,No
1322,032 010006501322,2025-06-03,09:42:06,,,,,,,No
1332,032 010006501332,2025-06-03,10:05:11,,,,,,,No
1337,032 010006501337,2025-06-03,09:26:00,,,,,,,No
1352,032 010006501352,2025-06-03,09:27:07,,,,,,,No
1358,032 010006501358,2025-06-03,09:25:25,,,,,,,No
1367,032 010006501367,2025-06-03,09:51:05,,,,,,,No
1370,032 010006501370,2025-06-03,09:33:02,,,,,,,No
1375,032 010006501375,2025-06-03,09:46:16,,,,,,,No
1384,032 010006501384,2025-06-03,10:06:31,,,,,,,No
1387,032 010006501387,2025-06-03,10:17:42,,,,,,,No
1398,032 010006501398,2025-06-03,09:26:25,,,,,,,No
1399,032 010006501399,2025-06-03,10:15:51,,,,,,,No
1507,032 010006501507,2025-06-03,09:49:04,,,,,,,No
1545,032 010006501545,2025-06-03,10:06:20,,,,,,,No
1548,032 010006501548,2025-06-03,09:57:17,,,,,,,No
1562,032 010006501562,2025-06-03,09:50:38,,,,,,,No
1570,032 010006501570,2025-06-03,09:52:10,,,,,,,No
1574,032 010006501574,2025-06-03,09:58:51,,,,,,,No
1576,032 010006501576,2025-06-03,09:41:08,,,,,,,No
1580,032 010006501580,2025-06-03,10:04:36,,,,,,,No
1586,032 010006501586,2025-06-03,09:27:21,,,,,,,No
1590,032 010006501590,2025-06-03,09:40:31,,,,,,,No
1597,032 010006501597,2025-06-03,09:30:44,,,,,,,No
1605,032 010006501605,2025-06-03,09:30:15,,,,,,,No
1611,032 010006501611,2025-06-03,09:36:57,,,,,,,No
1620,032 010006501620,2025-06-03,09:59:04,,,,,,,No
1622,032 010006501622,2025-06-03,09:41:34,,,,,,,No
1638,032 010006501638,2025-06-03,10:08:51,,,,,,,No
1646,032 010006501646,2025-06-03,09:57:56,,,,,,,No
1693,032 010006501693,2025-06-03,10:05:45,,,,,,,No
1699,032 010006501699,2025-06-03,09:25:44,,,,,,,No
1716,032 010006501716,2025-06-03,09:48:52,,,,,,,No
1720,032 010006501720,2025-06-03,10:08:28,,,,,,,No
1734,032 010006501734,2025-06-03,09:51:55,,,,,,,No
1742,032 010006501742,2025-06-03,09:19:09,,,,,,,No
1751,032 010006501751,2025-06-03,09:46:42,,,,,,,No
1761,032 010006501761,2025-06-03,09:55:04,,,,,,,No
1769,032 010006501769,2025-06-03,10:13:33,,,,,,,No
1777,032 010006501777,2025-06-03,10:16:05,,,,,,,No
1783,032 010006501783,2025-06-03,09:44:02,,,,,,,No
1150,032 010006501150,2025-06-03,09:37:53,,,,,,,No
1162,032 010006501162,2025-06-03,09:58:10,,,,,,,No
1193,032 010006501193,2025-06-03,09:30:30,,,,,,,No
1247,032 010006501247,2025-06-03,09:54:44,,,,,,,No
1301,032 010006501301,2025-06-03,10:15:37,,,,,,,No
1334,032 010006501334,2025-06-03,09:22:24,,,,,,,No
1339,032 010006501339,2025-06-03,09:56:50,,,,,,,No
1363,032 010006501363,2025-06-03,09:49:17,,,,,,,No
1368,032 010006501368,2025-06-03,09:39:06,,,,,,,No
1385,032 010006501385,2025-06-03,09:48:09,,,,,,,No
1392,032 010006501392,2025-06-03,10:17:03,,,,,,,No
1504,032 010006501504,2025-06-03,09:56:41,,,,,,,No
1542,032 010006501542,2025-06-03,09:18:11,,,,,,,No
1553,032 010006501553,2025-06-03,09:48:28,,,,,,,No
1564,032 010006501564,2025-06-03,10:13:24,,,,,,,No
1569,032 010006501569,2025-06-03,09:55:45,,,,,,,No
1573,032 010006501573,2025-06-03,09:31:23,,,,,,,No
1584,032 010006501584,2025-06-03,09:31:48,,,,,,,No
1606,032 010006501606,2025-06-03,09:41:19,,,,,,,No
1628,032 010006501628,2025-06-03,10:07:09,,,,,,,No
1647,032 010006501647,2025-06-03,10:14:09,,,,,,,No
1657,032 010006501657,2025-06-03,09:23:33,,,,,,,No
1658,032 010006501658,2025-06-03,10:04:01,,,,,,,No
1662,032 010006501662,2025-06-03,10:12:56,,,,,,,No
1664,032 010006501664,2025-06-03,09:50:52,,,,,,,No
1692,032 010006501692,2025-06-03,10:03:30,,,,,,,No
1694,032 010006501694,2025-06-03,10:06:58,,,,,,,No
1696,032 010006501696,2025-06-03,10:13:48,,,,,,,No
1705,032 010006501705,2025-06-03,09:38:45,,,,,,,No
1727,032 010006501727,2025-06-03,09:56:28,,,,,,,No
