VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1208,032 010006501208,2025-04-23,09:42:43,,Nueva etiqu.:1208,,,,Yes,4,bll,CABEZA,
1212,032 010006501212,2025-04-23,09:50:55,,Nueva etiqu.:1212,,,,Yes,3,MD,cuerpo,
1213,032 010006501213,2025-04-23,09:51:54,,Nueva etiqu.:1213,,,,Yes,3,bll,CABEZA,
1214,032 010006501214,2025-04-23,09:52:43,,Nueva etiqu.:1214,,,,Yes,3,bll,CABEZA,
1215,032 010006501215,2025-04-23,09:53:32,,Nueva etiqu.:1215,,,,Yes,4,bll,CABEZA,
1216,032 010006501216,2025-04-23,09:54:26,,Nueva etiqu.:1216,,,,Yes,4,bll,CABEZA,
1218,032 010006501218,2025-04-23,09:59:00,,Nueva etiqu.:1218,,,,Yes,3,bll,CABEZA,
1221,032 010006501221,2025-04-23,10:02:47,,Nueva etiqu.:1221,,,,Yes,4,bll,CABEZA,
1222,032 010006501222,2025-04-23,10:03:53,,Nueva etiqu.:1222,,,,Yes,3,MD,cuerpo,
1224,032 010006501224,2025-04-23,10:08:33,,Nueva etiqu.:1224,,,,Yes,3,1/4D,cuerpo,
1225,032 010006501225,2025-04-23,10:09:49,,Nueva etiqu.:1225,,,,Yes,4,MD,CABEZA,
1226,032 010006501226,2025-04-23,10:10:22,,Nueva etiqu.:1226,,,,Yes,4,bll,CABEZA,
1227,032 010006501227,2025-04-23,10:11:01,,Nueva etiqu.:1227,,,,Yes,4,bll,CABEZA,
1228,032 010006501228,2025-04-23,10:12:16,,Nueva etiqu.:1228,,,,Yes,4,bll,CABEZA,
1230,032 010006501230,2025-04-23,10:15:04,,Nueva etiqu.:1230,,,,Yes,4,bll,CABEZA,
1231,032 010006501231,2025-04-23,10:18:25,,Nueva etiqu.:1231,,,,Yes,3,MD,cuerpo,
1232,032 010006501232,2025-04-23,10:19:03,,Nueva etiqu.:1232,,,,Yes,3,bll,CABEZA,
1235,032 010006501235,2025-04-23,10:22:34,,Nueva etiqu.:1235,,,,Yes,3,MD,cuerpo,
1236,032 010006501236,2025-04-23,10:23:20,,Nueva etiqu.:1236,,,,Yes,3,1/4D,CABEZA,
1237,032 010006501237,2025-04-23,10:26:03,,Nueva etiqu.:1237,,,,Yes,4,MD,CABEZA,
1238,032 010006501238,2025-04-23,10:27:01,,Nueva etiqu.:1238,,,,Yes,3,MD,CABEZA,
1239,032 010006501239,2025-04-23,10:27:40,,Nueva etiqu.:1239,,,,Yes,4,bll,CABEZA,
1242,032 010006501242,2025-04-23,10:35:14,,Nueva etiqu.:1242,,,,Yes,3,4d,cuerpo,
1243,032 010006501243,2025-04-23,10:36:41,,Nueva etiqu.:1243,,,,Yes,3,bll,CABEZA,
1244,032 010006501244,2025-04-23,10:37:19,,Nueva etiqu.:1244,,,,Yes,4,bll,CABEZA,
1245,032 010006501245,2025-04-23,10:37:58,,Nueva etiqu.:1245,,,,Yes,4,bll,CABEZA,
1248,032 010006501248,2025-04-23,10:43:26,,Nueva etiqu.:1248,,,,Yes,4,bll,CABEZA,
1249,032 010006501249,2025-04-23,10:44:48,,Nueva etiqu.:1249,,,,Yes,4,MD,CABEZA,
1250,032 010006501250,2025-04-23,10:46:24,,Nueva etiqu.:1250,,,,Yes,4,MD,CABEZA,
1251,032 010006501251,2025-04-23,10:47:23,,Nueva etiqu.:1251,,,,Yes,3,MD,CABEZA,
1253,032 010006501253,2025-04-23,10:49:32,,Nueva etiqu.:1253,,,,Yes,4,bll,cuerpo,
1254,032 010006501254,2025-04-23,10:51:46,,Nueva etiqu.:1254,,,,Yes,5,MD,CABEZA,
1255,032 010006501255,2025-04-23,10:52:59,,Nueva etiqu.:1255,,,,Yes,4,1/4D,CABEZA,
1256,032 010006501256,2025-04-23,10:53:59,,Nueva etiqu.:1256,,,,Yes,3,bll,cuerpo,
1257,032 010006501257,2025-04-23,10:54:54,,Nueva etiqu.:1257,,,,Yes,3,bll,cuerpo,
1258,032 010006501258,2025-04-23,10:55:24,,Nueva etiqu.:1258,,,,Yes,4,1/4D,CABEZA,
1259,032 010006501259,2025-04-23,10:56:48,,Nueva etiqu.:1259,,,,Yes,4,bll,CABEZA,
1260,032 010006501260,2025-04-23,10:58:30,,Nueva etiqu.:1260,,,,Yes,3,bll,cuerpo,
1262,032 010006501262,2025-04-23,11:00:06,,Nueva etiqu.:1262,,,,Yes,4,bll,CABEZA,
1264,032 010006501264,2025-04-23,11:08:43,,Nueva etiqu.:1264,,,,Yes,4,1/4D,CABEZA,
1265,032 010006501265,2025-04-23,11:10:20,,Nueva etiqu.:1265,,,,Yes,4,bll,CABEZA,
1266,032 010006501266,2025-04-23,11:11:11,,Nueva etiqu.:1266,,,,Yes,4,bll,cuerpo,
1267,032 010006501267,2025-04-23,11:11:45,,Nueva etiqu.:1267,,,,Yes,4,MD,CABEZA,
1268,032 010006501268,2025-04-23,11:13:00,,Nueva etiqu.:1268,,,,Yes,3,bll,CABEZA,
1269,032 010006501269,2025-04-23,11:13:44,,Nueva etiqu.:1269,,,,Yes,3,MD,cuerpo,
1270,032 010006501270,2025-04-23,11:14:52,,Nueva etiqu.:1270,,,,Yes,4,bll,CABEZA,
1271,032 010006501271,2025-04-23,11:15:54,,Nueva etiqu.:1271,,,,Yes,4,MD,CABEZA,
1273,032 010006501273,2025-04-23,11:20:19,,Nueva etiqu.:1273,,,,Yes,3,bll,cuerpo,
1275,032 010006501275,2025-04-23,11:22:25,,Nueva etiqu.:1275,,,,Yes,4,bll,CABEZA,
