VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Dam Vid,Dam Eid,GESTACION,Status
1900,032 010006501900,2025-10-09,06:55:58,,Nueva etiqu.:1900,,,,,,CABEZA,
1901,032 010006501901,2025-10-09,06:59:00,,Nueva etiqu.:1901,,,,,,VACIA,
1902,032 010006501902,2025-10-09,07:00:38,,Nueva etiqu.:1902,,,,,,CABEZA,
1903,032 010006501903,2025-10-09,07:01:55,,Nueva etiqu.:1903,,,,,,CABEZA,
1904,032 010006501904,2025-10-09,07:03:36,,Nueva etiqu.:1904,,,,,,VACIA,
1905,032 010006501905,2025-10-09,07:04:54,,Nueva etiqu.:1905,,,,,,VACIA,
1906,032 010006501906,2025-10-09,07:06:29,,Nueva etiqu.:1906,,,,,,CABEZA,
1907,032 010006501907,2025-10-09,07:08:17,,Nueva etiqu.:1907,,,,,,CABEZA,
1908,032 010006501908,2025-10-09,07:11:01,,Nueva etiqu.:1908,,,,,,CABEZA,
1909,032 010006501909,2025-10-09,07:11:17,,Nueva etiqu.:1909,,,,,,CABEZA,
1910,032 010006501910,2025-10-09,07:12:46,,Nueva etiqu.:1910,,,,,,CABEZA,
1911,032 010006501911,2025-10-09,07:14:15,,Nueva etiqu.:1911,,,,,,CABEZA,
1912,032 010006501912,2025-10-09,07:15:59,,Nueva etiqu.:1912,,,,,,CABEZA,
1913,032 010006501913,2025-10-09,07:16:24,,Nueva etiqu.:1913,,,,,,CABEZA,
1914,032 010006501914,2025-10-09,07:18:17,,Nueva etiqu.:1914,,,,,,CABEZA,
1915,032 010006501915,2025-10-09,07:19:29,,Nueva etiqu.:1915,,,,,,CABEZA,
1916,032 010006501916,2025-10-09,07:21:15,,Nueva etiqu.:1916,,,,,,CABEZA,
1917,032 010006501917,2025-10-09,07:22:12,,Nueva etiqu.:1917,,,,,,VACIA,
1918,032 010006501918,2025-10-09,07:23:51,,Nueva etiqu.:1918,,,,,,CABEZA,
1919,032 010006501919,2025-10-09,07:27:15,,Nueva etiqu.:1919,,,,,,CABEZA,
1920,032 010006501920,2025-10-09,07:28:10,,Nueva etiqu.:1920,,,,,,CABEZA,
1921,032 010006501921,2025-10-09,07:29:54,,Nueva etiqu.:1921,,,,,,CABEZA,
1922,032 010006501922,2025-10-09,07:31:09,,Nueva etiqu.:1922,,,,,,VACIA,
1923,032 010006501923,2025-10-09,07:32:02,,Nueva etiqu.:1923,,,,,,CABEZA,
1924,032 010006501924,2025-10-09,07:33:36,,Nueva etiqu.:1924,,,,,,VACIA,
1925,032 010006501925,2025-10-09,07:35:03,,Nueva etiqu.:1925,,,,,,CABEZA,
