VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,Dam Vid,Dam Eid,edad,GESTACION,Status
1598,032 010006501598,2025-05-02,08:44:58,,Nueva etiqu.:1598,,,,Yes,3,,,1/4D,VACIA,
1599,032 010006501599,2025-05-02,08:47:01,,Nueva etiqu.:1599,,,,Yes,3,,,1/4D,VACIA,
1602,032 010006501602,2025-05-02,08:50:02,,Nueva etiqu.:1602,,,,Yes,4,,,CUT,CABEZA,
1608,032 010006501608,2025-05-02,08:57:17,,Nueva etiqu.:1608,,,,Yes,4,,,1/4D,VACIA,
1612,032 010006501612,2025-05-02,09:03:11,,Nueva etiqu.:1612,,,,Yes,3,,,1/4D,VACIA,
1636,032 010006501636,2025-05-02,09:39:10,,Nueva etiqu.:1636,,,,Yes,3,,,1/4D,VACIA,
1651,032 010006501651,2025-05-02,09:59:00,,Nueva etiqu.:1651,,,,Yes,3,,,6d,VACIA,
1659,032 010006501659,2025-05-02,10:10:44,,Nueva etiqu.:1659,,,,Yes,3,,,CUT,cuerpo,
1665,032 010006501665,2025-05-02,10:20:41,,Nueva etiqu.:1665,,,,Yes,3,,,6d,VACIA,
1681,032 010006501681,2025-05-02,10:52:09,,Nueva etiqu.:1681,,,,Yes,3,,,6d,VACIA,
1684,032 010006501684,2025-05-02,10:56:50,,Nueva etiqu.:1684,,,,Yes,3,,,1/4D,VACIA,
1690,032 010006501690,2025-05-02,11:04:47,,Nueva etiqu.:1690,,,,Yes,3,,,1/4D,VACIA,
1710,032 010006501710,2025-05-02,11:29:25,,Nueva etiqu.:1710,,,,Yes,3,,,CUT,cuerpo,
1712,032 010006501712,2025-05-02,11:31:18,,Nueva etiqu.:1712,,,,Yes,3,,,CUT,CABEZA,
1715,032 010006501715,2025-05-02,11:35:49,,Nueva etiqu.:1715,,,,Yes,3,,,1/4D,VACIA,
1725,032 010006501725,2025-05-02,11:45:10,,Nueva etiqu.:1725,,,,Yes,4,,,MD,CABEZA,
1733,032 010006501733,2025-05-02,11:54:43,,Nueva etiqu.:1733,,,,Yes,3,,,1/4D,VACIA,
1737,032 010006501737,2025-05-02,12:02:29,,Nueva etiqu.:1737,,,,Yes,4,,,1/4D,VACIA,
1745,032 010006501745,2025-05-02,12:11:43,,Nueva etiqu.:1745,,,,Yes,3,,,1/4D,VACIA,
1748,032 010006501748,2025-05-02,12:18:02,,Nueva etiqu.:1748,,,,Yes,1,,,bll,VACIA,
1764,032 010006501764,2025-05-02,12:40:20,,Nueva etiqu.:1764,,,,Yes,3,,,1/4D,VACIA,
1770,032 010006501770,2025-05-02,12:48:56,,Nueva etiqu.:1770,,,,Yes,2,,,bll,VACIA,
1785,032 010006501785,2025-05-02,13:05:23,,Nueva etiqu.:1785,,,,Yes,3,,,1/4D,VACIA,
1799,032 010006501799,2025-05-02,13:23:47,,Nueva etiqu.:1799,,,,Yes,3,,,1/4D,VACIA,
1809,032 010006501809,2025-05-02,13:35:21,,Nueva etiqu.:1809,,,,Yes,3,,,CUT,CABEZA,
1816,032 010006501816,2025-05-02,13:45:20,,Nueva etiqu.:1816,,,,Yes,4,,,1/4D,VACIA,
1543,032 010006501543,2025-05-02,07:34:22,,Nueva etiqu.:1543,,,,Yes,3,,,bll,CABEZA,
1544,032 010006501544,2025-05-02,07:35:45,,Nueva etiqu.:1544,,,,Yes,3,,,1/4D,cuerpo,
1546,032 010006501546,2025-05-02,07:37:23,,Nueva etiqu.:1546,,,,Yes,3,,,1/4D,CABEZA,
1547,032 010006501547,2025-05-02,07:38:26,,Nueva etiqu.:1547,,,,Yes,4,,,bll,CABEZA,
1549,032 010006501549,2025-05-02,07:41:32,,Nueva etiqu.:1549,,,,Yes,4,,,bll,CABEZA,
1550,032 010006501550,2025-05-02,07:42:26,,Nueva etiqu.:1550,,,,Yes,3,,,bll,cuerpo,
1551,032 010006501551,2025-05-02,07:43:38,,Nueva etiqu.:1551,,,,Yes,4,,,MD,CABEZA,
1552,032 010006501552,2025-05-02,07:44:10,,Nueva etiqu.:1552,,,,Yes,4,,,bll,CABEZA,
1554,032 010006501554,2025-05-02,07:47:45,,Nueva etiqu.:1554,,,,Yes,4,,,bll,CABEZA,
1555,032 010006501555,2025-05-02,07:49:21,,Nueva etiqu.:1555,,,,Yes,4,,,bll,CABEZA,
1556,032 010006501556,2025-05-02,07:49:52,,Nueva etiqu.:1556,,,,Yes,4,,,bll,CABEZA,
1557,032 010006501557,2025-05-02,07:50:45,,Nueva etiqu.:1557,,,,Yes,4,,,bll,CABEZA,
1558,032 010006501558,2025-05-02,07:51:25,,Nueva etiqu.:1558,,,,Yes,4,,,bll,CABEZA,
1559,032 010006501559,2025-05-02,07:52:07,,Nueva etiqu.:1559,,,,Yes,4,,,bll,CABEZA,
1560,032 010006501560,2025-05-02,07:54:06,,Nueva etiqu.:1560,,,,Yes,4,,,MD,CABEZA,
1561,032 010006501561,2025-05-02,07:54:53,,Nueva etiqu.:1561,,,,Yes,4,,,MD,CABEZA,
1563,032 010006501563,2025-05-02,07:56:05,,Nueva etiqu.:1563,,,,Yes,4,,,MD,CABEZA,
1565,032 010006501565,2025-05-02,08:03:15,,Nueva etiqu.:1565,,,,Yes,3,,,MD,CABEZA,
1566,032 010006501566,2025-05-02,08:05:13,,Nueva etiqu.:1566,,,,Yes,3,,,MD,cuerpo,
1567,032 010006501567,2025-05-02,08:05:41,,Nueva etiqu.:1567,,,,Yes,3,,,1/4D,cuerpo,
1568,032 010006501568,2025-05-02,08:06:35,,Nueva etiqu.:1568,,,,Yes,4,,,bll,CABEZA,
1571,032 010006501571,2025-05-02,08:09:50,,Nueva etiqu.:1571,,,,Yes,3,,,MD,cuerpo,
1572,032 010006501572,2025-05-02,08:10:48,,Nueva etiqu.:1572,,,,Yes,3,,,bll,CABEZA,
1575,032 010006501575,2025-05-02,08:13:59,,Nueva etiqu.:1575,,,,Yes,3,,,bll,CABEZA,
1577,032 010006501577,2025-05-02,08:19:05,,Nueva etiqu.:1577,,,,Yes,4,,,MD,CABEZA,
1578,032 010006501578,2025-05-02,08:20:34,,Nueva etiqu.:1578,,,,Yes,4,,,bll,CABEZA,
1579,032 010006501579,2025-05-02,08:21:06,,Nueva etiqu.:1579,,,,Yes,4,,,bll,CABEZA,
1581,032 010006501581,2025-05-02,08:22:50,,Nueva etiqu.:1581,,,,Yes,4,,,bll,CABEZA,
1582,032 010006501582,2025-05-02,08:23:31,,Nueva etiqu.:1582,,,,Yes,4,,,bll,CABEZA,
1583,032 010006501583,2025-05-02,08:26:12,,Nueva etiqu.:1583,,,,Yes,3,,,MD,cuerpo,
1585,032 010006501585,2025-05-02,08:27:27,,Nueva etiqu.:1585,,,,Yes,4,,,bll,CABEZA,
1587,032 010006501587,2025-05-02,08:29:11,,Nueva etiqu.:1587,,,,Yes,4,,,MD,CABEZA,
1588,032 010006501588,2025-05-02,08:30:13,,Nueva etiqu.:1588,,,,Yes,4,,,MD,CABEZA,
1589,032 010006501589,2025-05-02,08:33:11,,Nueva etiqu.:1589,,,,Yes,4,,,bll,CABEZA,
1591,032 010006501591,2025-05-02,08:35:09,,Nueva etiqu.:1591,,,,Yes,4,,,bll,cuerpo,
1592,032 010006501592,2025-05-02,08:35:36,,Nueva etiqu.:1592,,,,Yes,4,,,MD,CABEZA,
1593,032 010006501593,2025-05-02,08:36:08,,Nueva etiqu.:1593,,,,Yes,4,,,6d,CABEZA,
1594,032 010006501594,2025-05-02,08:36:54,,Nueva etiqu.:1594,,,,Yes,4,,,bll,CABEZA,
1595,032 010006501595,2025-05-02,08:38:05,,Nueva etiqu.:1595,,,,Yes,4,,,bll,CABEZA,
1596,032 010006501596,2025-05-02,08:39:58,,Nueva etiqu.:1596,,,,Yes,3,,,MD,cuerpo,
1600,032 010006501600,2025-05-02,08:47:43,,Nueva etiqu.:1600,,,,Yes,4,,,bll,CABEZA,
1601,032 010006501601,2025-05-02,08:48:49,,Nueva etiqu.:1601,,,,Yes,4,,,1/4D,CABEZA,
1603,032 010006501603,2025-05-02,08:52:40,,Nueva etiqu.:1603,,,,Yes,4,,,bll,CABEZA,
1604,032 010006501604,2025-05-02,08:53:30,,Nueva etiqu.:1604,,,,Yes,4,,,MD,CABEZA,
1607,032 010006501607,2025-05-02,08:55:48,,Nueva etiqu.:1607,,,,Yes,4,,,bll,CABEZA,
1609,032 010006501609,2025-05-02,09:00:04,,Nueva etiqu.:1609,,,,Yes,4,,,MD,CABEZA,
1610,032 010006501610,2025-05-02,09:00:56,,Nueva etiqu.:1610,,,,Yes,3,,,bll,cuerpo,
1613,032 010006501613,2025-05-02,09:05:34,,Nueva etiqu.:1613,,,,Yes,4,,,bll,CABEZA,
1614,032 010006501614,2025-05-02,09:06:02,,Nueva etiqu.:1614,,,,Yes,4,,,bll,CABEZA,
1615,032 010006501615,2025-05-02,09:08:27,,Nueva etiqu.:1615,,,,Yes,4,,,bll,CABEZA,
