VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1404,032 010006501404,2025-04-29,08:05:04,,Nueva etiqu.:1404,,,,Yes,4,4d,CABEZA,
1401,032 010006501401,2025-04-29,08:01:54,,Nueva etiqu.:1401,,,,Yes,4,4d,CABEZA,
1402,032 010006501402,2025-04-29,08:02:52,,Nueva etiqu.:1402,,,,Yes,4,4d,CABEZA,
1405,032 010006501405,2025-04-29,08:06:01,,Nueva etiqu.:1405,,,,Yes,4,4d,CABEZA,
1406,032 010006501406,2025-04-29,08:06:38,,Nueva etiqu.:1406,,,,Yes,4,4d,CABEZA,
1407,032 010006501407,2025-04-29,08:10:23,,Nueva etiqu.:1407,,,,Yes,4,4d,CABEZA,
1408,032 010006501408,2025-04-29,08:11:00,,Nueva etiqu.:1408,,,,Yes,4,4d,CABEZA,
1409,032 010006501409,2025-04-29,08:14:30,,Nueva etiqu.:1409,,,,Yes,4,4d,CABEZA,
1410,032 010006501410,2025-04-29,08:16:47,,Nueva etiqu.:1410,,,,Yes,4,4d,CABEZA,
1415,032 010006501415,2025-04-29,08:20:59,,Nueva etiqu.:1415,,,,Yes,4,4d,CABEZA,
1418,032 010006501418,2025-04-29,08:22:29,,Nueva etiqu.:1418,,,,Yes,4,4d,CABEZA,
1420,032 010006501420,2025-04-29,08:25:02,,Nueva etiqu.:1420,,,,Yes,4,4d,CABEZA,
1428,032 010006501428,2025-04-29,08:35:46,,Nueva etiqu.:1428,,,,Yes,4,4d,CABEZA,
1429,032 010006501429,2025-04-29,08:36:53,,Nueva etiqu.:1429,,,,Yes,4,4d,CABEZA,
1431,032 010006501431,2025-04-29,08:40:09,,Nueva etiqu.:1431,,,,Yes,4,4d,CABEZA,
1433,032 010006501433,2025-04-29,08:41:48,,Nueva etiqu.:1433,,,,Yes,4,4d,CABEZA,
1434,032 010006501434,2025-04-29,08:42:27,,Nueva etiqu.:1434,,,,Yes,4,4d,CABEZA,
1435,032 010006501435,2025-04-29,08:42:41,,Nueva etiqu.:1435,,,,Yes,4,4d,CABEZA,
1438,032 010006501438,2025-04-29,08:46:00,,Nueva etiqu.:1438,,,,Yes,4,4d,CABEZA,
1440,032 010006501440,2025-04-29,08:48:59,,Nueva etiqu.:1440,,,,Yes,4,4d,CABEZA,
