VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Drenched,Drenched Treated,Drenched Batch,Drenched Dosage,Drenched Expiry,edad,OJO,Status,TONO
,032 010006501856,2025-05-10,11:33:59,,Nueva etiqu.:1855,,,,10-05-2025,No,,,,bll,Yes,,Yes
1825,032 010006501825,2025-05-10,10:03:14,,Nueva etiqu.:1825,,,,10-05-2025,No,,,,4d,Yes,,Yes
1836,032 010006501836,2025-05-10,10:35:19,,Nueva etiqu.:1836,,,,10-05-2025,No,,,,bll,Yes,,Yes
1840,032 010006501840,2025-05-10,10:51:33,,Nueva etiqu.:1840,,,,10-05-2025,No,,,,2d,Yes,,Yes
1844,032 010006501844,2025-05-10,10:59:17,,Nueva etiqu.:1844,,,,10-05-2025,No,,,,2d,Yes,,Yes
1853,032 010006501853,2025-05-10,11:23:07,,Nueva etiqu.:1853,,,,10-05-2025,No,,,,MD,Yes,,Yes
1820,032 010006501820,2025-05-10,09:39:51,,Nueva etiqu.:1820,,,,10-05-2025,No,,,,4d,Yes,,Yes
1821,032 010006501821,2025-05-10,09:50:33,,Nueva etiqu.:1821,,,,10-05-2025,No,,,,4d,Yes,,Yes
1822,032 010006501822,2025-05-10,09:53:14,,Nueva etiqu.:1822,,,,10-05-2025,No,,,,bll,Yes,,Yes
1823,032 010006501823,2025-05-10,09:55:16,,Nueva etiqu.:1823,,,,10-05-2025,No,,,,bll,Yes,,Yes
1824,032 010006501824,2025-05-10,09:58:03,,Nueva etiqu.:1824,,,,10-05-2025,No,,,,bll,Yes,,Yes
1826,032 010006501826,2025-05-10,10:04:30,,Nueva etiqu.:1826,,,,10-05-2025,No,,,,bll,Yes,,Yes
1827,032 010006501827,2025-05-10,10:07:48,,Nueva etiqu.:1827,,,,10-05-2025,No,,,,6d,Yes,,Yes
1838,032 010006501838,2025-05-10,10:42:31,,Nueva etiqu.:1838,,,,10-05-2025,No,,,,bll,Yes,,Yes
1845,032 010006501845,2025-05-10,11:00:01,,Nueva etiqu.:1845,,,,10-05-2025,No,,,,2d,Yes,,Yes
1828,032 010006501828,2025-05-10,10:10:27,,Nueva etiqu.:1828,,,,10-05-2025,No,,,,6d,Yes,,Yes
1829,032 010006501829,2025-05-10,10:16:45,,Nueva etiqu.:1829,,,,10-05-2025,No,,,,2d,Yes,,Yes
1830,032 010006501830,2025-05-10,10:20:12,,Nueva etiqu.:1830,,,,10-05-2025,No,,,,bll,Yes,,Yes
1831,032 010006501831,2025-05-10,10:23:19,,Nueva etiqu.:1831,,,,10-05-2025,No,,,,2d,Yes,,Yes
1832,032 010006501832,2025-05-10,10:25:29,,Nueva etiqu.:1832,,,,10-05-2025,No,,,,bll,Yes,,Yes
1833,032 010006501833,2025-05-10,10:27:08,,Nueva etiqu.:1833,,,,10-05-2025,No,,,,MD,Yes,,Yes
1834,032 010006501834,2025-05-10,10:29:43,,Nueva etiqu.:1834,,,,10-05-2025,No,,,,bll,Yes,,Yes
1835,032 010006501835,2025-05-10,10:33:45,,Nueva etiqu.:1835,,,,10-05-2025,No,,,,bll,Yes,,Yes
1837,032 010006501837,2025-05-10,10:38:07,,Nueva etiqu.:1837,,,,10-05-2025,No,,,,1/4D,Yes,,Yes
1839,032 010006501839,2025-05-10,10:48:32,,Nueva etiqu.:1839,,,,10-05-2025,No,,,,1/4D,Yes,,Yes
1841,032 010006501841,2025-05-10,10:53:46,,Nueva etiqu.:1841,,,,10-05-2025,No,,,,2d,Yes,,Yes
1842,032 010006501842,2025-05-10,10:56:21,,Nueva etiqu.:1842,,,,10-05-2025,No,,,,2d,Yes,,Yes
1843,032 010006501843,2025-05-10,10:57:24,,Nueva etiqu.:1843,,,,10-05-2025,No,,,,2d,Yes,,Yes
1846,032 010006501846,2025-05-10,11:03:56,,Nueva etiqu.:1846,,,,10-05-2025,No,,,,2d,Yes,,Yes
1847,032 010006501847,2025-05-10,11:06:13,,Nueva etiqu.:1847,,,,10-05-2025,No,,,,2d,Yes,,Yes
1848,032 010006501848,2025-05-10,11:08:47,,Nueva etiqu.:1848,,,,10-05-2025,No,,,,4d,Yes,,Yes
1849,032 010006501849,2025-05-10,11:12:39,,Nueva etiqu.:1849,,,,10-05-2025,No,,,,2d,Yes,,Yes
1850,032 010006501850,2025-05-10,11:14:46,,Nueva etiqu.:1850,,,,10-05-2025,No,,,,2d,Yes,,Yes
1851,032 010006501851,2025-05-10,11:20:10,,Nueva etiqu.:1851,,,,10-05-2025,No,,,,2d,Yes,,Yes
1852,032 010006501852,2025-05-10,11:21:50,,Nueva etiqu.:1852,,,,10-05-2025,No,,,,bll,Yes,,Yes
1854,032 010006501854,2025-05-10,11:25:57,,Nueva etiqu.:1854,,,,10-05-2025,No,,,,6d,Yes,,Yes

 ,Total Head,36
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
