VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
1820,032 010006501820,2025-08-15,10:50:28,,,,,,
1821,032 010006501821,2025-08-15,10:42:27,,,,,,
1822,032 010006501822,2025-08-15,09:48:52,,,,,,
1823,032 010006501823,2025-08-15,09:51:06,,,,,,
1824,032 010006501824,2025-08-15,10:50:17,,,,,,
1826,032 010006501826,2025-08-15,10:30:00,,,,,,
1827,032 010006501827,2025-08-15,10:18:52,,,,,,
1838,032 010006501838,2025-08-15,10:50:38,,,,,,
1845,032 010006501845,2025-08-15,10:17:13,,,,,,
1828,032 010006501828,2025-08-15,10:29:38,,,,,,
1829,032 010006501829,2025-08-15,10:10:05,,,,,,
1830,032 010006501830,2025-08-15,10:23:44,,,,,,
1831,032 010006501831,2025-08-15,10:47:38,,,,,,
1832,032 010006501832,2025-08-15,10:02:21,,,,,,
1833,032 010006501833,2025-08-15,09:50:53,,,,,,
1834,032 010006501834,2025-08-15,10:02:08,,,,,,
1835,032 010006501835,2025-08-15,10:37:50,,,,,,
1837,032 010006501837,2025-08-15,10:01:57,,,,,,
1839,032 010006501839,2025-08-15,10:29:53,,,,,,
1841,032 010006501841,2025-08-15,10:23:59,,,,,,
1842,032 010006501842,2025-08-15,10:38:07,,,,,,
1843,032 010006501843,2025-08-15,10:09:40,,,,,,
1846,032 010006501846,2025-08-15,10:42:46,,,,,,
1847,032 010006501847,2025-08-15,10:38:31,,,,,,
1848,032 010006501848,2025-08-15,10:50:44,,,,,,
1849,032 010006501849,2025-08-15,10:24:05,,,,,,
1850,032 010006501850,2025-08-15,10:47:59,,,,,,
1851,032 010006501851,2025-08-15,10:38:42,,,,,,
1852,032 010006501852,2025-08-15,09:51:00,,,,,,
1854,032 010006501854,2025-08-15,10:09:50,,,,,,
1858,032 010006501858,2025-08-15,10:42:16,,,,,,
1859,032 010006501859,2025-08-15,10:42:35,,,,,,
1860,032 010006501860,2025-08-15,10:16:58,,,,,,
1861,032 010006501861,2025-08-15,10:30:13,,,,,,
1855,032 010006501855,2025-08-15,10:10:22,,Nueva etiqu.:1855,,,,

 ,Total Head,35
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
